fluid_id,altura,tempo,concentracao,regime
7,12.0,23,0.16608982668873204,0
7,12.0,26,0.1663143694091703,0
7,12.0,27,0.16650772957918566,0
7,12.0,28,0.16504619041053445,1
7,12.0,29,0.16561269438984813,1
7,12.0,33,0.16555925258030132,0
7,12.0,34,0.16593461464011072,0
7,12.0,35,0.16635810931110473,0
7,12.0,36,0.16428361278957382,2
7,12.0,37,0.16657618174376163,1
7,12.0,40,0.16860551992909178,1
7,12.0,41,0.16532009400660097,2
7,12.0,42,0.16900867412513074,1
7,12.0,43,0.1669736512950131,2
7,12.0,44,0.16730032239859824,0
7,12.0,47,0.16532760289614004,1
7,12.0,48,0.16829006594533677,1
7,12.0,49,0.1668417941657809,1
7,12.0,50,0.16741842763973025,1
7,16.0,1,0.11906609017798965,1
7,16.0,2,0.14528376848510294,1
7,16.0,3,0.15302688296989572,1
7,16.0,5,0.1600174362624517,1
7,16.0,6,0.16008365236070088,0
7,16.0,7,0.16075539116994422,1
7,16.0,8,0.15793277354062385,2
7,16.0,9,0.1623336503435605,1
7,16.0,10,0.1650485118599981,1
7,16.0,12,0.16446913781473615,0
7,16.0,13,0.16405782407807942,0
7,16.0,14,0.16442709441521017,0
7,16.0,15,0.16570311594702128,1
7,16.0,16,0.16649480205127776,1
7,16.0,19,0.1647502368865791,1
7,16.0,20,0.1641491148610805,1
7,16.0,21,0.1666403293875309,1
7,16.0,22,0.1658266812767433,1
7,16.0,23,0.16527630809622118,1
7,16.0,26,0.16714750352598431,1
7,16.0,27,0.16653265654457447,1
7,16.0,28,0.16583193634128637,1
7,16.0,29,0.16645181104965606,1
7,16.0,33,0.16705764509894075,0
7,16.0,34,0.1673076304727907,0
7,16.0,35,0.16616475245758203,1
7,16.0,36,0.16505304477130162,1
7,16.0,37,0.1676309189881585,1
7,16.0,40,0.16719813331624955,0
7,16.0,41,0.16736344622149288,0
7,16.0,42,0.1659558744994042,1
7,16.0,43,0.1696441949814719,1
7,16.0,44,0.16753640868649233,2
7,16.0,47,0.16898890161676838,0
7,16.0,48,0.16906843557729592,0
7,16.0,49,0.16763230765794587,1
7,16.0,50,0.1694238046757106,1
7,18.0,1,0.11737643545501852,1
7,18.0,2,0.14376859762787272,1
7,18.0,3,0.04613717757074664,2
7,18.0,5,0.0019465090200693853,2
7,18.0,6,0.0020719561060466023,0
7,18.0,7,0.0017838813242384737,0
7,18.0,8,0.0007722774564136238,1
7,18.0,9,0.002107918460033309,1
7,18.0,10,0.0026630445379903223,1
7,18.0,12,0.002680832544438129,0
7,18.0,13,0.002386938897816435,0
7,18.0,14,0.0027390512590142416,0
7,18.0,15,0.0025222691750336566,0
7,18.0,16,0.002855515298919347,0
7,18.0,19,0.0024975314781162513,0
7,18.0,20,0.0028154722302700212,0
7,18.0,21,0.002829241912207823,0
7,18.0,22,0.0029988388497976942,0
7,18.0,23,0.0027407691266916,0
7,18.0,26,0.0025874000013925997,0
7,18.0,27,0.0027480179706131946,0
7,18.0,28,0.0028444751599411328,0
